bond_1,66,107,109,85,106,95,67,78,66,100,95,75,65,68,61,63,83,73,79,92,109,72,99,103,73,65,105,89,70,82,76,66,74,103,90,60,99,97,93,102,80,64,102,77,65,61,96,64,81,73,72
bond_2,99,81,96,96,76,98,65,93,105,73,81,98,80,85,80,92,70,79,104,60,96,85,98,71,88,82,74,60,79,94,98,88,105,61,97,102,79,108,76,72,69,108,90,105,67,62,61,95,99,84,79
bond_3,88,84,101,100,74,77,110,61,76,94,91,105,103,73,106,98,93,64,84,110,81,87,76,85,74,108,90,96,71,104,63,101,82,94,85,79,93,62,66,101,84,103,108,82,70,110,92,97,81,83,64
bond_4,92,76,75,70,95,77,70,95,63,78,108,98,93,66,94,96,88,65,94,76,88,92,102,74,70,73,73,103,83,71,103,93,61,79,91,76,89,110,95,96,96,74,106,72,68,94,100,100,75,97,61
bond_5,108,64,73,84,110,65,69,78,80,61,82,84,91,69,60,90,72,79,108,64,89,91,99,108,76,79,96,71,85,77,83,61,92,105,80,90,99,78,99,103,102,84,83,89,96,95,102,61,84,68,77
bond_6,99,95,77,110,98,109,88,68,95,70,81,92,65,61,100,75,81,90,67,60,60,88,89,107,81,74,66,97,63,81,98,78,108,61,76,87,108,66,78,79,104,102,107,92,105,110,104,101,68,94,72
bond_7,78,79,75,91,72,60,87,84,90,96,85,102,69,67,78,68,90,66,77,77,89,97,62,93,65,98,69,94,63,87,89,105,107,66,60,68,79,97,81,103,102,89,101,93,83,108,99,63,77,90,94
bond_8,88,74,65,98,65,88,62,84,72,77,109,78,108,83,105,61,101,97,97,92,75,90,84,63,67,102,82,94,86,67,89,93,79,77,66,67,104,80,87,107,90,95,72,69,95,68,102,96,65,89,63
bond_9,110,98,96,93,89,80,105,100,76,90,84,87,74,83,100,85,60,106,60,72,80,67,76,75,103,77,76,98,99,74,80,72,63,96,86,74,76,75,93,87,64,83,71,60,71,93,102,108,110,86,86
bond_10,82,92,69,81,90,61,68,77,95,60,97,87,89,109,94,68,101,77,94,100,94,108,94,63,72,90,74,67,82,104,100,63,60,98,91,66,78,94,76,73,106,63,88,68,76,74,95,68,110,83,66
bond_11,63,95,109,68,79,60,105,61,76,100,82,85,88,95,76,67,80,73,104,95,99,72,93,92,61,80,101,106,110,66,106,62,103,95,94,94,64,107,93,74,104,63,84,61,76,88,102,87,82,79,67
bond_12,64,85,74,79,78,77,86,106,103,66,95,93,88,60,79,93,96,62,102,108,73,83,95,106,80,78,110,76,65,75,80,107,101,94,72,87,102,65,85,88,92,64,99,89,77,109,99,108,71,69,84
